CMNO,SAN MIGUEL DE GENETO (TRV.7 DCHA.),9591
CMNO,CALLEJONES LOS (V.GUERRA),9592
CTRA,CTRA.GENERAL DE BAJAMAR (TRV.5),659
CTRA,CTRA.GENERAL DE BAJAMAR (TRV.6),661
PSAJE,PEREZ BETHENCOURT (TRV.),5960
CMNO,MEDIO EL (TRV.27 IZDA.),823
PLAZA,PEDRO ROLDAN HERNANDEZ,791
CALLE,ANTONIO DE LARA Y ZARATE,773
CALLE,ANDROMEDA (PROLONGACION),9972
URB,URB. LA VERDELLADA  CALLE C-1,9973
URB,URB. LA VERDELLADA  CALLE C-2,9976
TRVAL,CADENA (LA) PRIMERA DERECHA,627
TRVAL,PITERA (LA) PRIMERA IZQUIERDA,628
TRVAL,TABARES GUAMASA PRIMERA DERECHA,631
TRVAL,MAJANO SEGUNDA DERECHA,632
TRVAL,MAJANO TERCERA DERECHA,633
TRVAL,GARIMBA TERCERA DERECHA,634
TRVAL,GARIMBA CUARTA DERECHA,638
TRVAL,BOQUERON TERCERA DERECHA,639
TRVAL,JUAN FERNANDEZ CUARTA DERECHA,640
TRVAL,BARRANQUERA PRIMERA DERECHA,643
TRVAL,JOVER PRIMERA IZQUIERDA,646
TRVAL,PINO (EL) PRIMERA DERECHA,651
TRVAL,MORAL (EL) CUARTA DERECHA,654
TRVAL,ANIMAS (LAS) PRIMERA IZQUIERDA,656
TRVAL,PEDRO ALVAREZ PRIMERA DERECHA,931
CALLE,TABAIBA (LA) SAN LAZARO,941
CALLE,VEINTISEIS DE DICIEMBRE,10
TRVAL,SEGUIDILLA (LA) PRIMERA DERECHA,276
TRVAL,PISTA SAN ROQUE PRIMERA IZQUIERDA,303
TRVAL,PISTA SAN ROQUE SEGUNDA IZQUIERDA,304
TRVAL,PISTA SAN ROQUE TERCERA IZQUIERDA,306
TRVAL,FUENTE CANIZARES PRIMERA DERECHA,314
TRVAL,VEREDA CHICA PRIMERA IZQUIERDA,326
TRVAL,ADAN MARTIN SEGUNDA DERECHA,328
TRVAL,TORNERO PRIMERA IZQUIERDA,347
CALLE,VICTORIA (LA) FINCA ESPANA,8930
CALLE,JOSE GREGORIO HERNANDEZ,3980
AVDA,LEOPOLDO DE LA ROSA OLIVERA,4235
CALLE,LOMO (EL) LAS CARBONERAS,4367
CALLE,MARIA DEL CRISTO OSSUNA,4760
CALLE,DRAGO (EL) BARRIO NUEVO,2540
CALLE,DRAGO (EL) TEJINA,2555
CALLE,ERNESTO SALCEDO VILCHEZ,2685
CALLE,GABRIEL GARCIA MARQUEZ,3150
CMNO,HOMICIAN (EL) PUNTA DEL HIDALGO,3545
AVDA,PESCADORES (LOS) BAJAMAR,5973
CALLE,CORAZON DE JESUS BARRIO DEL OBISPADO,2005
CTRA,GENERAL LA LAGUNA PUNTA DEL HIDALGO,2320
CMNO,MOLINO (EL) VALLE GUERRA,5085
CALLE,NUESTRA SENORA DE LOS REMEDIOS,5355
CALLE,NUESTRA SENORA DE LAS MERCEDES,5360
LUGAR,PABELLONES MILITARES LOS RODEOS,5585
CALLE,SANTA MARIA SOLEDAD TORRES ACOSTA,7660
CMNO,SAN MIGUEL DE GENETO (TRV.9 DCHA.),461
CALLE,JOSE ANTONIO RGUEZ.AMADOR (TRV.2),1059
VIA,LAS CHUMBERAS-SANTA MARIA DEL MAR,1032
CALLE,DOCTOR ESCOLASTICO AGUIAR SOTO,1016
PLAZA,ANTONIO GONZALEZ HERNANDEZ,992
CALLE,SUERTES LARGAS (TRASERA),968
CALLE,NUESTRA SENORA DE LA TERNURA,978
CALLE,PADRE JOSE ARENAS SABAN,983
CALLE,RAMON DE ASCANIO Y TOGORES,989
URB,URB. RESIDENCIAL LOS MAJUELOS (II FASE),946
URB,URB. TORRELAGUNA  FASE VIII,951
URB,URB. PARQUE LA VEGA  CALLE D,961
CALLE,RICARDO MELCHIOR BOOTH,964
ZONA,CAMPUS UNIVERSITARIO DE GUAJARA,908
ZONA,CAMPUS UNIVERSITARIO PADRE ANCHIETA,909
PSAJE,FERMIN CEDRES HERNANDEZ,912
CALLE,PICACHOS (URB.TORRELAGUNA),928
CALLE,URB. TORRELAGUNA  CALLE A,929
CALLE,ADARGOMA (TRV.2 DCHA.),932
CMNO,PALMERAS LAS (V.COLINO),892
CALLE,MANUEL DE VERA (TRV.1),894
CTRA,CTRA.GENERAL LA CUESTA-TACO (TRV.2),854
CTRA,CTRA.EL BOQUERON (TRV.1),853
LUGAR,REGIMIENTO DE INFANTERIA,6505
CALLE,PRIMO DE RIVERA (TRV.1),6360
CALLE,VALLE COLINO (CALLE 4),8725
CALLE,FRANCISCO GARCIA FAJARDO,687
CALLE,GAVIAS LAS (TRANSVERSAL),100
CALLE,CTRA.VALLE TABARES (PARALELA),1501
VIA,VIA DE SERVICIO GUAJARA,1502
CTRA,CTRA.GENERAL LAS CANTERAS,1430
CALLE,CALANDRIA  LA,1151
CMNO,PALMITA LA (TRV.1),5735
CMNO,PALMITA LA (TRV.2),5740
ZONA,PARQUES Y TALLERES-LA CUESTA,5790
ZONA,ORTIGAL ALTO,5535
ZONA,ORTIGAL BAJO,5540
AVDA,PASO EL (TRV.3 DCHA.),5566
CALLE,OXIGENO (TRV.1),5575
CALLE,VALLE INCLAN (PROLONGACION),248
CALLE,JOSEFINA LA RASTROJA (TRV.1),230
CMNO,JUAN FERNANDEZ(TRV.6 DR.),156
URB,URB. RESIDENCIAL ANDREA,1171
CLLON,LOMO LOS MIRLOS,1167
URB,URB. BOUGANVILLAS,15
URB,URB. RESIDENCIAL CERCADO MESA,20
CALLE,NICOLAS ESTEVANEZ MURPHY,25
URB,URB.RESID.EL MORALITO,1164
URB,URB. LA VEGA I,1156
URB,URB. LOS CASTILLOS,1157
URB,URB. EL TRAPECIO,1170
ZONA,FINCA MESA PONTE,1163
PSAJE,ESPINA  LA,1166
CALLE,BUENAVENTURA BONNET (TRASERA),1221
POLIG,MAJUELOS LOS,1222
CALLE,SANTIAGO DEL TEIDE,1250
CALLE,VALLE FLANDES (TRV.2),1122
CALLE,VALLE FLANDES (TRV.6),1123
CALLE,VALLE FLANDES (TRV.3),1124
CALLE,VALLE TABARES (TRV.4),1126
CALLE,VALLE TABARES (TRV.1),1127
CALLE,VALLE TABARES (TRV.5),1128
CALLE,VALLE TABARES (TRV.6),1129
CALLE,VALLE TABARES (TRV.3),1131
CALLE,VERDELLADA LA A-K,1132
CALLE,VERDELLADA LA G-J,1133
CALLE,VERDELLADA LA I-J,1134
CALLE,VERDELLADA LA M-L,1136
CTRA,CTRA.VIEJA DE LA ESPERANZA (TRV.1),1137
CALLE,VILLAVERDE (TRASERA),1138
CMNO,JARDINA (TRV.3 IZDA.),1139
CALLE,PICO TEIDE,1140
CALLE,MONTANA BLANCA,1141
PSAJE,CAMINO VIEJO,1142
CALLE,AVETI,1143
CALLE,PARDELERA,1144
CALLE,GARABATO,1145
CALLE,IRIS,1146
CALLE,RASTROJO,1147
CALLE,PANASCOS,1148
BRANC,BARRANCO BERMEJO,1098
CTRA,CTRA.ANTIGUA EL PORTEZUELO (TRV.3),1099
ZONA,BRONCO EL,1100
CALLE,TEDERA,1101
ZONA,PUNTA DE LA ALHAJA,1102
CALLE,RUA LA (TRV.4),1103
CALLE,SAN BARTOLOME DE GENETO (TRV.11),1104
CALLE,ACHAMAN (GUAJARA),1106
CALLE,SAN BARTOLOME DE GENETO (PAR.2),1107
CTRA,CTRA.GENERAL (TRV.2),2255
CTRA,CTRA.GENERAL (TRV.3),2260
CMNO,CTRA.GENERAL (TRV.4),2265
CMNO,CTRA.GENERAL (TRV.6),2270
CMNO,CTRA.GENERAL (TRV.7),2275
CMNO,CTRA.GENERAL (TRV.8),2280
CTRA,CTRA.GENERAL TACORONTE,2305
CMNO,COSTA LA (TRV.1),2080
CMNO,COSTA LA (TRV.2 IZDA.),2085
CMNO,COSTA LA (TRV.3),2090
CMNO,CRUZ LA (TRV.1),2185
CALLE,CRUZADA,2190
CTRA,CTRA.GENERAL,2195
CALLE,NUESTRA SENORA DEL COROMOTO,2050
CALLE,SAN DIEGO (TRV.1),1111
CALLE,URB. SUERTES LARGAS(PAR.1),1112
CALLE,TABARES (TRV.1 DCHA.),1113
CALLE,TABARES (TRV.9),1114
CALLE,LOMO EL TRAZO (TRV.1),1116
CALLE,TRUJILLOS LOS,1117
ZONA,VALLE COLINO,1118
CALLE,VALLE FLANDES (TRV.1),1119
CALLE,VALLE FLANDES (TRV.5),1121
CALLE,MONJAS LAS (TRV.2),1070
CALLE,MONTANA LA (BAJAMAR),1071
CALLE,MONTANA PACHO (TRV.1),1072
CALLE,MONTANA PACHO (TRV.2),1073
CALLE,MONTANA PACHO (TRV.4),1074
CALLE,MONTANA PACHO (TRV.6),1075
CALLE,MORAL EL (TRV.1),1076
CALLE,MORAL EL (TRV.2),1077
CALLE,MORAL EL (TRV.3),1078
CALLE,PADRE MANJON (TRV.2),1079
CALLE,MONTE CANINO,1081
CALLE,TORRE LA (SAN ROQUE),1082
CALLE,ENTRADA A VALLE LAS CHOZAS,1083
PSAJE,MEJORANA LA,1084
PSAJE,SAUCE EL,1086
CALLE,INGLES DEL,1087
CALLE,VOLCAN SANTORIN,1088
CALLE,ALGARROBERO EL,1089
CLLON,LEO,1091
CALLE,CRUZ LA (LAS MANTECAS),1092
CALLE,RADIOAFICIONADO DEL,1094
CALLE,MONJAS LAS (TRV.1),1069
CALLE,CTRA.VALLE DE GUERRA (TRV.1),1049
URB,URB. EL GRAMAL  CALLE G,1051
CALLE,HORNERA LA (TRV.10),1052
CALLE,HORNERA LA (TRV.8),1053
CALLE,HORNERA LA (TRV.15),1054
CALLE,HORNERA LA (TRV.7),1056
CALLE,HORNERA LA (TRV.13),1057
CALLE,NAVA TOSCANA (TRV.),5250
CALLE,NAZARET,5275
CMNO,MINA LA (RODEOS),5040
CMNO,MIRABAL (V.GUERRA),5045
BRANC,BARRANCO SANTOS,5065
CLLON,MOLINO EL (TRASERA),5125
CMNO,MAZARRON (LOS VALLES),4875
CALLE,TRAPECIO EL,1183
CALLE,NUESTRA SENORA DE LORETO,1168
CALLE,JOSE ANTONIO (PROLONGACION),1184
CALLE,CALLE DESFASADA,1187
CALLE,LA HIGUERA (PROLONGACION),1176
URB,URB. LOS BARDINOS (EL GRAMAL),1178
URB,URB. MENCEY,4935
PLAZA,MERCADO MUNICIPAL,4943
ZONA,BARRIO MACHADO,4535
CMNO,VEREDA EL MAJANO,4585
CMNO,MAJANO EL,4590
BDA,LUIS GONZAGA,4470
URB,URB. EL LAUREL,4175
CALLE,LAUREL-JARDIN/DRAGO,4180
PSAJE,JUAN BLAS (ENTRADA),4020
CMNO,HURON EL (TRV.2),3720
CMNO,HOMICIAN EL (TRV.5),3570
CALLE,GONZALIANEZ (MERCEDES),3250
CALLE,SAN ELEAZAR,1158
URB,LAGUNAMAR,1172
CALLE,SALVIAL,1169
CMNO,COSTA LA (TRV.3? IZDA.),1173
URB,URB. TROVIS,1174
CALLE,MIGUEL MELO BENITO,1179
CALLE,GUATEMALA,1181
CALLE,CRUCES  LAS (LAS MANTECAS),1182
CALLE,LAGUNA DE CORAL,1152
CALLE,BAHIA DE CORAL,1153
CMNO,AMANECER,375
TRAS,SAN CRISTOBAL,377
TRVAL,ALEGRIA PRIMERA DERECHA,379
CALLE,AMAPOLA (LA),380
BRANC,SANTOS (DE),381
TRAS,ALICANTE,382
TRVAL,MURCIA,383
CALLE,AMAPOLA (LA) JARDINA,385
TRVAL,MESA (LA) PRIMERA IZQUIERDA,386
TRVAL,MESA (LA) SEGUNDA IZQUIERDA,387
CMNO,SUBIDA A LA MESA,388
PROL,EDUARDO DE ROO,389
CLLON,AMARGURA,390
CALLE,VIZCAINA (LA),392
TRVAL,RIVERA (LA) PRIMERA DERECHA,394
CMNO,CALETA (LA),395
PROL,MAYANTIGO,397
URB,MAJUELOS III,399
CALLE,SANTA AMELIA,400
CALLE,ARAFO,401
CALLE,IDAIRA,402
CALLE,ERAS (LAS),403
CALLE,BARCA (LA),404
CALLE,AMERICAS (LAS) TACO,405
CALLE,GITAMA,406
URB,PRINCIPE RUYMAN CALLE A,407
CMNO,FINAL,408
CALLE,SIRENA (LA),409
CALLE,AMERICAS (LAS) BARRIO NUEVO,410
URB,PRINCIPE RUYMAN CALLE B,411
CALLE,YERAY,412
CALLE,ROBLE (EL) LA VEGA,413
PSAJE,SAN FERNANDO CARBONERAS,414
CALLE,AMISTAD,415
URB,PRINCIPE RUYMAN CALLE C,416
CALLE,EPIFANIO,417
URB,PRINCIPE RUYMAN CALLE D,418
CALLE,DESTILERA (LA),419
CALLE,ANATAEL CABRERA,420
AVDA,ALBERTO DE ARMAS,424
CALLE,ANATEN,425
CMNO,SAN JOSE,427
TRVAL,CRUCES (LAS) OCTAVA IZQUIERDA,428
CALLE,ANDALUCIA,430
TRVAL,SANTA TERESA CUARTA IZQUIERDA,433
TRVAL,SANTA TERESA ONCE IZQUIERDA,434
CMNO,ANDENES (LOS),435
TRVAL,SANTA TERESA PRIMERA DERECHA,436
TRVAL,SANTA TERESA SEGUNDA DERECHA,437
TRVAL,BOCATUERTA PRIMERA IZQUIERDA,438
TRVAL,BOCATUERTA SEGUNDA IZQUIERDA,439
BARDA,ANDENES (LOS),440
CALLE,RECTOR GUMERSINDO TRUJILLO,442
TRVAL,BOCATUERTA TERCERA IZQUIERDA,443
TRVAL,SANSOFE PRIMERA IZQUIERDA,444
CMNO,ANDENES (LOS) VIEJO,445
TRVAL,SANSOFE SEGUNDA IZQUIERDA,446
TRVAL,ADARGOMA PRIMERA DERECHA,448
CALLE,ANDRES BELLO,450
CALLE,GAMMA,54
CALLE,ACADEMIA,55
CLLON,DONATOS (LOS),56
CALLE,ZEROLO,57
CALLE,JULIO NAVARRO GRAU,58
CALLE,SAN OLEGARIO,59
URB,ACAYMO,60
CALLE,CALUCA,61
AVDA,PAZ (DE LA),62
CALLE,PIEDAD,63
CALLE,SINCERIDAD,64
CALLE,ACAYMO FINCA ESPANA,65
CALLE,MORALIDAD,66
CALLE,HERMANDAD,67
CALLE,IGUALDAD,68
CALLE,FRATERNIDAD,69
CMNO,ACENTEJO,70
CALLE,LIBERTAD,71
CALLE,PROSPERIDAD,72
AVDA,PROGRESO,73
CALLE,VOLCAN NEVADO DEL RUIZ,74
CALLE,BARRANQUILLO DE ACENTEJO,75
PLAZA,ESTRELLA (LA),76
CALLE,NUESTRA SENORA DE LA PAZ,77
CALLE,SOR ELENA,78
CALLE,SOR REYES,79
CALLE,ACEVINO GUAJARA,80
CALLE,ESTEVES (LOS) TACO,81
CALLE,ESPRONCEDA,82
CALLE,FRESON (EL),83
CMNO,ACEVINO LA VEGA,84
CALLE,ACHAMAN JARDINA,85
CMNO,CIPRESES (LOS),86
PSAJE,FRANCISCO REYES ALONSO,87
CMNO,MANOLO EL HERRERO,88
CMNO,MANUEL MOLINA,89
CALLE,ACHAMAN TACO,90
PSAJE,LEDESMA,91
PLAZA,SANTA TERESA JORNET,92
PSAJE,SANCHO,93
PSAJE,HARIA SAN LAZARO,94
URB,ACHIMENCEY,95
CMNO,CODICIA,96
CALLE,FLORESTA,97
PSAJE,NAVA,98
CALLE,CORAL (EL) LA BARRANQUERA,99
CALLE,ARGANDA,101
PSAJE,BRUNETE,102
CMNO,PAPAYA (LA),103
CALLE,LOZOYA,104
CALLE,ACORAIDA,105
PSAJE,ROQUILLO (EL),106
CMNO,ATRAVESADA (LA),107
PSAJE,JUAN RODRIGUEZ,108
CALLE,MONTE CHICO,109
CALLE,ADARGOMA,110
CMNO,VEREDA ALTA,111
CMNO,PENCON (EL),112
CALLE,MONTE BREZO,113
CMNO,CANAS (LAS) GUAMASA,114
PLAZA,ADELANTADO (EL),115
CALLE,ADAN MARTIN,116
CMNO,LEON HERNANDEZ,117
CMNO,LLANO (EL),118
PSAJE,AGUACATE (EL) GUAMASA,119
CALLE,ADELANTADO (LA CUESTA),120
PSAJE,TENESOR,121
PLAZA,AFRICA ALONSO VALENCIA,122
CALLE,ANGEL Y SOFIA,123
PSAJE,PUREZA (LA),124
CALLE,AFUR,125
CALLE,VIRGEN BLANCA,126
AVDA,LITORAL,127
PSAJE,YMOBACH,128
PSAJE,ALHONDIGA (LA) TEJINA,129
CALLE,AGALA,130
CALLE,HUERFANO,131
CALLE,VIRGILIO,132
CALLE,LUCIANO RAMOS DIAZ,133
CALLE,GRANERO (EL),134
CALLE,NAVA Y GRIMON,135
PSAJE,CARRETERO (EL),136
CALLE,PERDIZ (LA) GENETO,137
CALLE,BUITRE (EL),138
CALLE,ALTARES,139
CALLE,AGUA (EL),140
CALLE,SIN SALIDA BAJAMAR,141
CALLE,MORITA (LA),143
CMNO,VEREDA DEL AIRE,144
AVDA,PASO (EL),146
CALLE,SANTA EULALIA,147
CALLE,SANTA GEMA GALGANI,148
CALLE,BARLOVENTO,149
CALLE,AGUERE,150
PSAJE,MONTANA CLARA,151
CALLE,AIRAM FINCA ESPANA,152
URB,GRAMAL CALLE A,153
CMNO,CENTENO,154
CALLE,NAMERA (LA),155
URB,GRAMAL CALLE B,157
URB,GRAMAL CALLE C,158
URB,GRAMAL CALLE D,159
URB,AGUERE,160
URB,GRAMAL CALLE E,161
CALLE,ALCAMPO,163
CALLE,FLOR DE LYS,164
CALLE,ORTIGA (LA),166
CMNO,LIGNITO,167
CMNO,CAMELLAS (LAS),168
PSAJE,CERCADO DEL OBISPO,169
CALLE,AGUIRRE DE LOS RIOS,170
CALLE,BODEGUILLA (LA),171
CMNO,VISTA BELLA,172
CMNO,VISTA COSTA,173
CALLE,PEDRO GONZALEZ TEJINA,174
CALLE,AGULO,175
CALLE,GUILLERMO GONZALEZ,176
PSAJE,CHARCA (LA) TEJINA,177
CMNO,HERRERIA,178
CALLE,AGUSTIN CABRERA,180
PSAJE,FLOR DE PITANGA,181
URB,COLLAZOS CALLE B,182
URB,COLLAZOS CALLE C,183
URB,COLLAZOS CALLE D,184
CALLE,PERDOMO FELIPE,185
URB,COLLAZOS CALLE E,186
URB,COLLAZOS CALLE F,187
CALLE,TROMPETAS (LAS),188
CALLE,CANDELARIA LAS GAVIAS,189
CMNO,LOMO EL AIRE,190
CALLE,ANTONIO HERNANDEZ ARRON,191
CALLE,BOLAS (LAS),192
CALLE,DELGADO,193
CALLE,BORGES (LOS),194
PSAJE,ZANCADILLA (LA),195
PSAJE,BAUDET,196
CALLE,GUIRRE (EL),197
CALLE,HERRENA (LA),198
CALLE,FONDILLO,199
CALLE,AIRES DE LIMA,200
CMNO,CABINA (LA),201
CMNO,ISLA (LA),202
CMNO,LIMONEROS (LOS),203
CMNO,CUEVAS (LAS),204
CALLE,TABARES DE CALA,205
CALLE,MAZO,206
CALLE,FUENCALIENTE,207
CMNO,TARRAGONA,208
CALLE,VIRGEN DOLOROSA,209
CMNO,ALAMOS (LOS),210
PSAJE,CADERA (LA),211
PSAJE,CAMPO (EL) LOS BALDIOS,212
PSAJE,TRASERA SEMINARIO,213
PLAZA,SAN DAMIAN,214
CALLE,ANFORA (EL),215
PLAZA,SAN ALEJANDRO,216
PLAZA,SAN FELIX,217
PLAZA,DOMINGO CABRERA CRUZ,218
PLAZA,SECUNDINO DELGADO,219
AVDA,LIBERTAD (LA),220
CALLE,ORTEGA Y GASSET,221
CMNO,BREZO (EL) LA VEGA,222
CMNO,CEDRO (EL) LA VEGA,223
CALLE,CARMEN (EL) BARRIO EL PILAR,224
CALLE,ALBERTO EINSTEIN,225
CMNO,CUPRESO (EL),226
PSAJE,LAVA,227
CALLE,VOLCAN FUJIYAMA,228
CALLE,AVIACION,229
AVDA,MENCEYES (LOS),231
AVDA,CESAR MANRIQUE,232
PSAJE,TEIDE,233
URB,MOLINOS (LOS),234
CALLE,ALEGRANZA,235
TRVAL,MENCEYES (LOS) PRIMERA,236
TRVAL,MENCEYES (LOS) SEGUNDA,237
TRVAL,MENCEYES (LOS) TERCERA,238
TRAS,MENCEYES (LOS),239
CALLE,ALEGRIA (LA),240
CALLE,DRAGOS (LOS),241
TRVAL,JOROPO,242
PSAJE,A CAMINO VALLADO,243
PSAJE,B CAMINO VALLADO,244
CALLE,ALFONSO GARCIA RAMOS,245
PSAJE,A REPUBLICA DE VENEZUELA,246
CALLE,TOMILLO (EL),247
CALLE,SORDO (EL),249
TRVAL,ALFONSO GARCIA RAMOS SEGUNDA,250
URB,YACARE,251
TRVAL,SAN LAZARO PRIMERA IZQUIERDA,252
TRVAL,GENERAL BAJAMAR PRIMERA,657
TRVAL,ARAUCARIA PRIMERA,658
CMNO,ARTES (DE LAS),660
TRVAL,RUA (LA) PRIMERA DERECHA,662
TRVAL,GONZALIANEZ PRIMERA IZQUIERDA,663
TRVAL,GONZALIANEZ SEGUNDA IZQUIERDA,664
CALLE,ARTURO VERGARA RODRIGUEZ,665
TRVAL,JARDINA PRIMERA DERECHA,666
TRVAL,JARDINA TERCERA DERECHA,667
BARDA,ASOMADA (LA) LOS BALDIOS,670
CALLE,PINOS (LOS) SAN ROQUE,671
TRVAL,CERCO (EL) PRIMERA,674
CALLE,ASOMADA (LA) TEJINA,675
TRVAL,MONTE LAS MERCEDES SEGUNDA,676
TRVAL,MONTE LAS MERCEDES TERCERA,677
TRVAL,VIEJO LAS MERCEDES PRIMERA,678
TRVAL,MONTE LAS MERCEDES CUARTA,679
CMNO,ASOMADETA (LA),680
TRVAL,ANIMAS (LAS) PRIMERA DERECHA,683
CALLE,CASAS DE PERERA (LAS),684
AVDA,ASTROFISICO FRANCISCO SANCHEZ,685
TRVAL,MIRABAL PRIMERA DERECHA,686
PASEO,ASOCIACION VECINOS LA MONTANA,688
CMNO,ATALAYA (LA),690
CMNO,LOMO NEGRO (BARRANCO),691
